season,player,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pts_per_game,AllStar
2024,A.J. Green,1.1,0.5,0.2,0.1,0.2,4.5,0
2024,A.J. Lawson,1.2,0.5,0.2,0.1,0.3,3.2,0
2024,AJ Griffin,0.9,0.3,0.1,0.1,0.4,2.4,0
2024,Aaron Gordon,6.5,3.5,0.8,0.6,1.4,13.9,0
2024,Aaron Holiday,1.6,1.8,0.5,0.1,0.7,6.6,0
2024,Aaron Nesmith,3.8,1.5,0.9,0.7,0.9,12.2,0
2024,Aaron Wiggins,2.4,1.1,0.7,0.2,0.7,6.9,0
2024,Adam Flagler,0.0,2.0,0.0,0.0,0.0,1.5,0
2024,Adama Sanogo,4.0,0.0,0.1,0.0,0.6,4.0,0
2024,Admiral Schofield,0.7,0.3,0.0,0.0,0.2,1.1,0
2024,Al Horford,6.4,2.6,0.6,1.0,0.7,8.6,0
2024,Alec Burks,2.3,1.3,0.4,0.2,0.7,10.4,0
2024,Alec Burks,2.6,1.6,0.5,0.3,0.7,12.6,0
2024,Alec Burks,1.7,0.9,0.3,0.0,0.7,6.5,0
2024,Aleksej Pokusevski,3.2,1.3,0.5,0.5,0.7,5.2,0
2024,Aleksej Pokusevski,1.0,0.5,0.1,0.1,0.3,1.2,0
2024,Aleksej Pokusevski,4.4,1.7,0.8,0.7,0.9,7.4,0
2024,Alex Caruso,3.8,3.5,1.7,1.0,1.4,10.1,0
2024,Alex Fudge,0.8,0.0,0.5,0.0,0.3,2.5,0
2024,Alex Fudge,0.5,0.0,0.0,0.0,0.3,1.0,0
2024,Alex Fudge,1.5,0.0,1.5,0.0,0.5,5.5,0
2024,Alex Len,2.7,1.0,0.2,0.7,0.6,2.5,0
2024,Alondes Williams,0.1,0.0,0.0,0.1,0.3,0.7,0
2024,Alperen Şengün,9.3,5.0,1.2,0.7,2.6,21.1,0
2024,Amari Bailey,0.9,0.7,0.3,0.0,0.4,2.3,0
